DCNv3-Full - 6to6_g35.mp4 Full Tracking Report
============================================================
Date: 2026-03-19 22:08:26
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n_full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g35.mp4
Frames: 648107 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9177
IDF1:               0.9288
ID Switches:        2324
Mostly Tracked (MT):(86.4%)
Mostly Lost (ML):   (0.9%)
GFLOPs:             nan
FPS:                80.14
Runtime:            02:14:47
Class Switches:     12638

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2750
  MOTORCYCLE      650
  TRICYCLE        334
  VAN             373
  BUS             0
  TRUCK           6
  TOTAL           4113

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 25       3        0        2        0        0        30      
00:05:00-00:10:00 17       4        2        0        0        0        23      
00:10:00-00:15:00 27       2        2        2        0        0        33      
00:15:00-00:20:00 23       9        1        5        0        0        38      
00:20:00-00:25:00 27       3        0        5        0        0        35      
00:25:00-00:30:00 19       3        0        0        0        0        22      
00:30:00-00:35:00 26       5        0        5        0        0        36      
00:35:00-00:40:00 25       1        0        5        0        0        31      
00:40:00-00:45:00 26       1        0        2        0        0        29      
00:45:00-00:50:00 43       7        0        8        0        0        58      
00:50:00-00:55:00 37       2        0        3        0        0        42      
00:55:00-01:00:00 32       4        1        6        0        0        43      
01:00:00-01:05:00 17       5        0        6        0        0        28      
01:05:00-01:10:00 48       2        1        6        0        0        57      
01:10:00-01:15:00 34       6        0        4        0        0        44      
01:15:00-01:20:00 26       5        0        6        0        0        37      
01:20:00-01:25:00 16       6        0        2        0        0        24      
01:25:00-01:30:00 47       4        2        7        0        0        60      
01:30:00-01:35:00 26       2        0        5        0        0        33      
01:35:00-01:40:00 43       9        1        1        0        0        54      
01:40:00-01:45:00 39       5        2        8        0        0        54      
01:45:00-01:50:00 40       4        1        2        0        0        47      
01:50:00-01:55:00 43       2        1        5        0        0        51      
01:55:00-02:00:00 24       6        0        3        0        0        33      
02:00:00-02:05:00 38       5        2        5        0        0        50      
02:05:00-02:10:00 15       5        1        1        0        0        22      
02:10:00-02:15:00 30       0        0        1        0        0        31      
02:15:00-02:20:00 44       7        2        5        0        0        58      
02:20:00-02:25:00 34       5        0        3        0        0        42      
02:25:00-02:30:00 40       13       1        5        0        0        59      
02:30:00-02:35:00 21       7        1        4        0        0        33      
02:35:00-02:40:00 35       6        0        4        0        0        45      
02:40:00-02:45:00 26       2        1        6        0        0        35      
02:45:00-02:50:00 20       2        0        3        0        0        25      
02:50:00-02:55:00 12       4        0        1        0        0        17      
02:55:00-03:00:00 24       8        2        3        0        0        37      
03:00:00-03:05:00 17       3        2        0        0        0        22      
03:05:00-03:10:00 10       3        0        2        0        0        15      
03:10:00-03:15:00 9        2        2        3        0        0        16      
03:15:00-03:20:00 8        2        1        0        0        0        11      
03:20:00-03:25:00 14       10       2        0        0        0        26      
03:25:00-03:30:00 14       7        0        1        0        0        22      
03:30:00-03:35:00 20       3        1        1        0        0        25      
03:35:00-03:40:00 6        8        2        1        0        0        17      
03:40:00-03:45:00 12       3        0        0        0        0        15      
03:45:00-03:50:00 6        7        1        0        0        0        14      
03:50:00-03:55:00 11       7        1        1        0        0        20      
03:55:00-04:00:00 6        3        2        3        0        0        14      
04:00:00-04:05:00 3        6        2        1        0        0        12      
04:05:00-04:10:00 4        2        1        0        0        0        7       
04:10:00-04:15:00 10       4        3        1        0        0        18      
04:15:00-04:20:00 5        2        2        2        0        0        11      
04:20:00-04:25:00 7        6        2        1        0        0        16      
04:25:00-04:30:00 5        2        2        1        0        0        10      
04:30:00-04:35:00 4        4        0        0        0        0        8       
04:35:00-04:40:00 10       5        3        0        0        0        18      
04:40:00-04:45:00 9        10       2        2        0        0        23      
04:45:00-04:50:00 9        5        3        0        0        0        17      
04:50:00-04:55:00 9        2        4        0        0        0        15      
04:55:00-05:00:00 4        4        2        2        0        0        12      
05:00:00-05:05:00 13       3        5        2        0        0        23      
05:05:00-05:10:00 11       4        7        2        0        0        24      
05:10:00-05:15:00 14       4        3        0        0        0        21      
05:15:00-05:20:00 12       9        2        2        0        0        25      
05:20:00-05:25:00 10       2        2        2        0        0        16      
05:25:00-05:30:00 10       2        1        0        0        0        13      
05:30:00-05:35:00 12       7        3        3        0        0        25      
05:35:00-05:40:00 3        9        4        1        0        0        17      
